Order_ID,Order_Date,Region,Category,Segment,Ship_Mode,Sales,Profit,Discount,Quantity,Year,Month,Month_Name,Quarter
ORD-10000,2021-01-01,West,Technology,Home Office,First Class,2679.09,182.18,0.05,4,2021,1,January,1
ORD-10001,2021-01-02,West,Fashion,Home Office,Same Day,956.11,120.98,0.0,1,2021,1,January,1
ORD-10002,2021-01-03,West,Fashion,Home Office,Second Class,2487.34,-77.35,0.3,12,2021,1,January,1
ORD-10003,2021-01-04,Central,Grocery,Corporate,Standard Class,1239.66,143.24,0.05,13,2021,1,January,1
ORD-10004,2021-01-05,East,Furniture,Corporate,Standard Class,1606.21,244.14,0.15,2,2021,1,January,1
ORD-10005,2021-01-06,North,Fashion,Consumer,Same Day,3172.25,493.94,0.0,9,2021,1,January,1
ORD-10006,2021-01-07,North,Fashion,Home Office,First Class,2495.52,141.41,0.05,10,2021,1,January,1
ORD-10007,2021-01-08,North,Furniture,Consumer,Second Class,2796.53,477.32,0.0,14,2021,1,January,1
ORD-10008,2021-01-09,East,Office Supplies,Corporate,First Class,1160.65,83.95,0.3,4,2021,1,January,1
ORD-10009,2021-01-10,Central,Technology,Home Office,Second Class,3342.31,-75.36,0.3,9,2021,1,January,1
ORD-10010,2021-01-11,Central,Office Supplies,Consumer,First Class,1081.0,93.42,0.0,14,2021,1,January,1
ORD-10011,2021-01-12,South,Office Supplies,Corporate,Standard Class,2440.37,31.57,0.2,4,2021,1,January,1
ORD-10012,2021-01-13,South,Grocery,Home Office,Same Day,535.93,87.89,0.1,3,2021,1,January,1
ORD-10013,2021-01-14,North,Fashion,Home Office,Same Day,1726.49,-10.59,0.2,15,2021,1,January,1
ORD-10014,2021-01-15,Central,Furniture,Corporate,Standard Class,4816.63,532.57,0.0,13,2021,1,January,1
ORD-10015,2021-01-16,South,Furniture,Home Office,Standard Class,3702.73,281.81,0.15,7,2021,1,January,1
ORD-10016,2021-01-17,Central,Office Supplies,Consumer,Standard Class,2176.84,225.78,0.2,11,2021,1,January,1
ORD-10017,2021-01-18,West,Office Supplies,Corporate,Same Day,606.82,77.02,0.15,3,2021,1,January,1
ORD-10018,2021-01-19,Central,Office Supplies,Consumer,Standard Class,1226.73,15.69,0.3,14,2021,1,January,1
ORD-10019,2021-01-20,East,Fashion,Consumer,First Class,2079.24,422.55,0.05,13,2021,1,January,1
ORD-10020,2021-01-21,West,Fashion,Home Office,First Class,1001.91,152.89,0.0,8,2021,1,January,1
ORD-10021,2021-01-22,East,Office Supplies,Consumer,Second Class,2588.59,-85.09,0.2,15,2021,1,January,1
ORD-10022,2021-01-23,West,Grocery,Home Office,Second Class,958.86,-4.83,0.3,3,2021,1,January,1
ORD-10023,2021-01-24,Central,Office Supplies,Home Office,Same Day,2186.06,192.32,0.2,4,2021,1,January,1
ORD-10024,2021-01-25,South,Office Supplies,Home Office,First Class,1548.12,-0.65,0.2,8,2021,1,January,1
ORD-10025,2021-01-26,North,Technology,Consumer,Second Class,1845.3,348.89,0.05,10,2021,1,January,1
ORD-10026,2021-01-27,East,Technology,Consumer,Standard Class,2246.4,140.63,0.1,14,2021,1,January,1
ORD-10027,2021-01-28,East,Grocery,Home Office,Second Class,1086.03,-1.52,0.2,12,2021,1,January,1
ORD-10028,2021-01-29,South,Grocery,Consumer,Standard Class,903.12,-27.35,0.3,2,2021,1,January,1
ORD-10029,2021-01-30,West,Grocery,Home Office,Standard Class,1277.55,182.2,0.15,1,2021,1,January,1
ORD-10030,2021-01-31,East,Technology,Consumer,Second Class,2683.15,51.51,0.15,9,2021,1,January,1
ORD-10031,2021-02-01,East,Grocery,Consumer,Same Day,483.36,38.88,0.2,13,2021,2,February,1
ORD-10032,2021-02-02,West,Fashion,Consumer,Second Class,1943.82,49.08,0.15,3,2021,2,February,1
ORD-10033,2021-02-03,West,Grocery,Consumer,Same Day,694.16,96.71,0.15,1,2021,2,February,1
ORD-10034,2021-02-04,North,Grocery,Corporate,Same Day,733.85,177.04,0.05,3,2021,2,February,1
ORD-10035,2021-02-05,Central,Fashion,Consumer,First Class,2192.13,395.83,0.0,1,2021,2,February,1
ORD-10036,2021-02-06,East,Fashion,Consumer,Standard Class,892.67,54.54,0.05,14,2021,2,February,1
ORD-10037,2021-02-07,South,Furniture,Consumer,Second Class,1366.91,-45.93,0.2,10,2021,2,February,1
ORD-10038,2021-02-08,Central,Fashion,Home Office,First Class,1234.73,195.38,0.1,15,2021,2,February,1
ORD-10039,2021-02-09,North,Furniture,Corporate,Second Class,2459.99,-127.34,0.3,11,2021,2,February,1
ORD-10040,2021-02-10,West,Technology,Corporate,Standard Class,3142.87,9.55,0.2,2,2021,2,February,1
ORD-10041,2021-02-11,West,Office Supplies,Consumer,First Class,1520.19,237.37,0.05,5,2021,2,February,1
ORD-10042,2021-02-12,Central,Office Supplies,Home Office,Standard Class,1228.7,101.59,0.2,11,2021,2,February,1
ORD-10043,2021-02-13,North,Furniture,Consumer,Standard Class,1852.88,11.77,0.2,12,2021,2,February,1
ORD-10044,2021-02-14,North,Furniture,Consumer,First Class,2254.71,370.07,0.15,9,2021,2,February,1
ORD-10045,2021-02-15,West,Technology,Home Office,Same Day,2077.75,169.78,0.1,14,2021,2,February,1
ORD-10046,2021-02-16,North,Furniture,Consumer,Same Day,2996.29,-338.78,0.3,9,2021,2,February,1
ORD-10047,2021-02-17,East,Technology,Home Office,Standard Class,5469.81,244.06,0.1,14,2021,2,February,1
ORD-10048,2021-02-18,West,Furniture,Corporate,First Class,4975.48,607.08,0.0,15,2021,2,February,1
ORD-10049,2021-02-19,West,Furniture,Corporate,Same Day,1849.12,131.24,0.3,10,2021,2,February,1
ORD-10050,2021-02-20,East,Furniture,Corporate,Standard Class,5082.85,210.82,0.3,3,2021,2,February,1
ORD-10051,2021-02-21,East,Grocery,Corporate,Second Class,496.2,29.49,0.3,13,2021,2,February,1
ORD-10052,2021-02-22,East,Grocery,Consumer,Same Day,1393.88,263.81,0.1,6,2021,2,February,1
ORD-10053,2021-02-23,West,Furniture,Home Office,Second Class,2370.13,68.46,0.1,7,2021,2,February,1
ORD-10054,2021-02-24,North,Office Supplies,Home Office,Same Day,1295.41,-57.62,0.2,11,2021,2,February,1
ORD-10055,2021-02-25,East,Office Supplies,Home Office,First Class,1852.8,276.32,0.0,1,2021,2,February,1
